okrug;city
Чукотский;Анадырь
Эвенкийский;Тура
Ненецкий;Нарьян-Мар
Таймырский;Дудинка
Агинский;Агинское
Бурятский;Агинское
Ханты-Мансийский;Сургут
Ямало-Ненецкий;Салехард
