krai;city
Алтайский;Барнаул
Забайкальский;Чита
Камчатский;Петропавловск-Камчатский
Краснодарский;Краснодар
Красноярский;Красноярск
Пермский;Пермь
Приморский;Владивосток
Ставропольский;Ставрополь
Хабаровский;Хабаровск
