city;federal_district;region_fo;id
Балашиха;Центральный;Московская обл;27c5bc66-61bf-4a17-b0cd-ca0eb64192d6
Балашов;Приволжский;Саратовская обл;574ddbe6-5e16-4e5b-9cf5-5f3be3a8a6c9
Балей;Дальневосточный;Забайкальский край;29a51a64-5ca3-4cc6-87ff-9cdfcc17642e
Балтийск;Северо-Западный;Калининградская обл;97323948-09db-411c-8e9a-43ad2ec25687
Барабинск;Сибирский;Новосибирская обл;0133a54d-617a-4682-8885-e22c85588be8
Барнаул;Сибирский;Алтайский край;d13945a8-7017-46ab-b1e6-ede1e89317ad
Барыш;Приволжский;Ульяновская обл;52cccd1a-84fd-448a-a91e-36f113b9946f
Батайск;Южный;Ростовская обл;3809afb6-fdfd-4115-9e55-236abf108c81
Бахчисарай;Южный;Крым Респ;bc8c57aa-1f97-4b2a-98ef-fc16bbb0d6cc
Бежецк;Центральный;Тверская обл;a8a1798c-3aa9-4716-82a1-51ec18e23c04
Белая Калитва;Южный;Ростовская обл;2d38257c-c09e-405d-af01-93fc9cd3f6cd
Белая Холуница;Приволжский;Кировская обл;49e2b1b5-771f-4dfd-9428-e74cd055d113
Белгород;Центральный;Белгородская обл;02e9c019-ab4d-4fa0-928e-d6c0a41dc256
Белебей;Приволжский;Башкортостан Респ;11e85c3e-c276-43b3-94e8-6b7f6cde5ac1
Белев;Центральный;Тульская обл;a9d553c1-2d2e-422a-afba-96b3b34755e1
Белинский;Приволжский;Пензенская обл;ea57fb75-444f-4f54-b89e-d66ac91774ba
Белово;Сибирский;Кемеровская область - Кузбасс обл;1346744e-8a64-4712-8939-bb84a1692874
Белогорск;Дальневосточный;Амурская обл;c528e99b-7e81-4290-9cda-8713884472a5
Белозерск;Северо-Западный;Вологодская обл;9444e5a5-b164-42b8-b4ff-e3b4c157fc54
Белокуриха;Сибирский;Алтайский край;e4edca96-9b86-4cac-8c7f-cc93d9ba4cd1
Беломорск;Северо-Западный;Карелия Респ;b4bc7957-5539-4da9-ac5f-d6ee037c0d52
Белоозёрский;Центральный;Московская обл;76a108ed-a04d-41d0-a556-39865e793886
Белорецк;Приволжский;Башкортостан Респ;dd65b1de-c076-4126-9b56-c4b4979e2b0f
Белореченск;Южный;Краснодарский край;ce9dccce-d0a3-49c4-a934-3f8de7fbed2a
Белоусово;Центральный;Калужская обл;4601e932-0ca3-474f-a8a6-e67cc034b346
Белоярский;Уральский;Ханты-Мансийский Автономный округ - Югра АО;db0b028c-2da0-4fb9-af00-6fed7a7644a0
Бердск;Сибирский;Новосибирская обл;fd0191f4-4687-42d9-be64-4ebc7824bd08
Березники;Приволжский;Пермский край;4ffcde97-05e9-4a6e-bd51-3a984b41b7bd
Березовский;Сибирский;Кемеровская область - Кузбасс обл;ef6bac92-b712-42ba-942b-515b36b9a32c
Беслан;Северо-Кавказский;Северная Осетия - Алания Респ;cbf3eb9d-f86c-4dbb-ba9e-f9f6521b096f
Бийск;Сибирский;Алтайский край;52f876f6-cb1d-4f23-a22f-b692609fc1e0
Бикин;Дальневосточный;Хабаровский край;70dc89f8-f067-482a-bd50-4fb2782463e7
Билибино;Дальневосточный;Чукотский АО;c012d402-217c-488a-85f3-52b3312ddab6
